Date,Close,High,Low,Open,Volume,Symbol
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,
2019-01-01,1649.655517578125,1671.3627837604263,1647.1367497502235,1671.3627837604263,807345,HINDUNILVR.NS
2019-01-02,1634.5428466796875,1656.7537984751834,1622.3612371084957,1641.687032598203,1598707,HINDUNILVR.NS
2019-01-03,1638.0233154296875,1651.8077767293248,1632.7109607655166,1632.7109607655166,1182624,HINDUNILVR.NS
2019-01-04,1631.88671875,1650.4798494568875,1623.1397921808775,1647.6405335643246,1454134,HINDUNILVR.NS
2019-01-07,1634.86328125,1652.311515759138,1632.573492564081,1640.8625723295431,909032,HINDUNILVR.NS
2019-01-08,1621.94921875,1642.6947307411565,1613.0190410947303,1641.3208572557303,1262707,HINDUNILVR.NS
2019-01-09,1634.9093017578125,1645.900288660386,1624.2847034465449,1628.039934943704,1324628,HINDUNILVR.NS
2019-01-10,1636.0081787109375,1647.8235107140154,1629.4136320053578,1634.909124862037,1313981,HINDUNILVR.NS
2019-01-11,1620.6209716796875,1644.434775614513,1610.6833104757968,1644.0683870389119,1113837,HINDUNILVR.NS
2019-01-14,1615.5836181640625,1631.0167743216218,1612.1030940130513,1622.086596840428,1018068,HINDUNILVR.NS
2019-01-15,1639.3515625,1642.6031076980453,1618.7893013978571,1618.7893013978571,1614600,HINDUNILVR.NS
2019-01-16,1623.5062255859375,1643.885347486145,1618.2397109375693,1639.4889079268053,2054033,HINDUNILVR.NS
2019-01-17,1604.2259521484375,1629.6426065430244,1595.982712885328,1627.4902275410968,1941204,HINDUNILVR.NS
2019-01-18,1597.4482421875,1620.1171513943004,1582.0609284762375,1602.8521661374107,3234056,HINDUNILVR.NS
2019-01-21,1600.0126953125,1610.1793342769226,1590.075035206763,1601.936095364242,1628067,HINDUNILVR.NS
2019-01-22,1603.0352783203125,1607.4317174837306,1594.8378792413366,1599.188477906891,1776472,HINDUNILVR.NS
2019-01-23,1618.6058349609375,1634.0391006578848,1602.3026060631732,1604.6839640138476,2321782,HINDUNILVR.NS
2019-01-24,1611.553466796875,1634.0392390611532,1608.9888584444082,1618.239695269027,1350870,HINDUNILVR.NS
2019-01-25,1609.0804443359375,1629.1847454533881,1602.85217402301,1613.843160359168,1131790,HINDUNILVR.NS
2019-01-28,1596.44091796875,1622.5903535162108,1593.830580825547,1611.0039986178099,1289774,HINDUNILVR.NS
2019-01-29,1608.98876953125,1615.5375879429694,1580.961776627391,1598.2726025346876,1319822,HINDUNILVR.NS
2019-01-30,1587.60205078125,1612.6981569132602,1582.7934945842915,1612.0112203136948,1259978,HINDUNILVR.NS
2019-01-31,1614.98828125,1625.6587210089606,1589.3426428691691,1589.938010407089,1880257,HINDUNILVR.NS
2019-02-01,1648.0069580078125,1678.4153107294192,1613.339463645546,1614.9881564221819,2342251,HINDUNILVR.NS
2019-02-04,1651.029052734375,1669.713748973295,1643.79329882248,1648.5561259141687,1116390,HINDUNILVR.NS
2019-02-05,1668.29443359375,1680.6592942582033,1653.1818261149735,1653.227666617654,1278708,HINDUNILVR.NS
2019-02-06,1676.0794677734375,1682.032918321935,1666.9661535793261,1674.6598658801404,859789,HINDUNILVR.NS
2019-02-07,1684.41455078125,1689.8642036260599,1674.6141872321173,1679.78913249333,927434,HINDUNILVR.NS
2019-02-08,1664.493408203125,1691.6960558789553,1658.7230953962035,1684.4603005229092,1222765,HINDUNILVR.NS
