Date,Close,High,Low,Open,Volume,Symbol
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
2019-01-01,502.1801452636719,505.0024280039384,497.29723548038385,504.0840751785598,9746670,RELIANCE.NS
2019-01-02,495.6397705078125,504.8680655782602,493.2206837061785,499.26835585421315,15628818,RELIANCE.NS
2019-01-03,489.5248718261719,499.3131192833518,488.3377415765855,496.13249656995913,16288287,RELIANCE.NS
2019-01-04,492.1678771972656,494.76614862582727,484.30592836490376,491.6079242411293,18516544,RELIANCE.NS
2019-01-07,494.9006042480469,501.03786890126446,493.22068534444605,495.9085496094006,12060290,RELIANCE.NS
2019-01-08,494.8557434082031,497.23000376136076,490.9807493175372,495.057326473353,12304389,RELIANCE.NS
2019-01-09,497.58837890625,500.3882334416353,492.1902828067868,498.14836177493913,12614237,RELIANCE.NS
2019-01-10,496.13250732421875,497.7004355471902,494.1166166969882,496.2444979252835,8925160,RELIANCE.NS
2019-01-11,491.89910888671875,498.9547255928918,487.665744843821,496.1772691669369,14139060,RELIANCE.NS
2019-01-14,491.33917236328125,492.99666310363517,486.6802140058937,490.5328101604984,8994060,RELIANCE.NS
2019-01-15,506.0551452636719,507.10788675872595,495.01254367306746,495.01254367306746,22011407,RELIANCE.NS
2019-01-16,508.85498046875,512.9315575799861,506.3686996470015,508.45175453480016,13961606,RELIANCE.NS
2019-01-17,508.20538330078125,514.2306263322657,506.21186116301055,512.6851263454022,16379077,RELIANCE.NS
2019-01-18,530.5594482421875,533.0457296410499,508.56389307685043,514.6339340124388,56181172,RELIANCE.NS
2019-01-21,554.4588623046875,555.4668076277997,532.4856781840676,534.8823667815325,48206814,RELIANCE.NS
2019-01-22,553.3165283203125,558.6026641651555,546.3505035394516,552.2862147806949,36207430,RELIANCE.NS
2019-01-23,549.3519897460938,557.370756360391,547.4256915166454,552.4877865192,19313542,RELIANCE.NS
2019-01-24,558.82666015625,561.402533785551,546.5745590144147,548.7696346823569,28775487,RELIANCE.NS
2019-01-25,558.1770629882812,566.5541991552153,553.4285419011594,560.1705853933892,18703992,RELIANCE.NS
2019-01-28,550.807861328125,562.6344273817293,547.6048404979484,560.1929426215862,18744303,RELIANCE.NS
2019-01-29,542.3411865234375,551.7486967717202,538.1750162294986,551.457491282678,20405845,RELIANCE.NS
2019-01-30,535.6438598632812,548.7695760341901,533.5831731416838,544.2898326929887,17164298,RELIANCE.NS
2019-01-31,549.7327270507812,550.8750610088872,538.0181820224958,538.4661443966431,22279301,RELIANCE.NS
2019-02-01,559.946533203125,562.2088330048148,549.687955148749,552.8013834989991,20187323,RELIANCE.NS
2019-02-04,578.2911376953125,581.0013997798235,556.4075476622928,558.6249913255757,25528059,RELIANCE.NS
2019-02-05,578.582275390625,584.3388011663366,572.7810131860278,578.7838883609099,20479210,RELIANCE.NS
2019-02-06,586.9594116210938,590.2744527750773,579.791834277209,580.6877590171721,20586783,RELIANCE.NS
2019-02-07,578.0671997070312,591.8648007551867,576.140901539908,586.959462855562,20150710,RELIANCE.NS
